specimen;total_thickness;tape_thickness;loading_step;strain;crack_density
S_600_65_6;600;65;1950;0,004198482;0
S_600_65_6;600;65;2300;0,005648755;0
S_600_65_6;600;65;2600;0,006811171;0
S_600_65_6;600;65;2900;0,007396602;0
S_600_65_6;600;65;3200;0,008126308;0
S_600_65_6;600;65;3500;0,009333793;0
S_600_65_6;600;65;3750;0,010316198;0
S_600_65_6;600;65;4000;0,010622517;0
S_600_65_6;600;65;4250;0,011390981;0
S_600_65_6;600;65;4500;0,012098181;0
S_600_65_6;600;65;4750;0,012602793;0
S_600_65_6;600;65;5000;0,01299823;0
S_600_65_6;600;65;5200;0,013562006;0
S_600_65_6;600;65;???;0,014406839;0
S_600_65_6;600;65;???;0,01517313;0
S_600_65_6;600;65;???;0,015855859;0
S_600_65_6;600;65;???;0,016138872;0
S_600_65_7;600;65;100;0;0
S_600_65_7;600;65;500;0,000464113;0
S_600_65_7;600;65;900;0,001014261;0
S_600_65_7;600;65;1250;0,001697427;0
S_600_65_7;600;65;1600;0,002312225;0
S_600_65_7;600;65;1950;0,003601738;0
S_600_65_7;600;65;2300;0,003382006;0
S_600_65_7;600;65;2600;0,004815545;0
S_600_65_7;600;65;2900;0,006385404;0
S_600_65_7;600;65;3200;0,007365715;0
S_600_65_7;600;65;3500;0,008227698;0
S_600_65_7;600;65;3750;0,009004568;0
S_600_65_7;600;65;4000;0,010153037;0
S_600_65_7;600;65;4250;0,011356799;0
S_600_65_7;600;65;4500;0,012459092;0,032679739
S_600_65_7;600;65;4750;0,013335501;0,032679739
S_600_65_7;600;65;5000;0,014076956;0,032679739
S_600_65_7;600;65;5200;0,015132766;0,049019608
S_600_65_8;600;65;100;0,00093;0
S_600_65_8;600;65;500;0,00186;0
S_600_65_8;600;65;900;0,00279;0
S_600_65_8;600;65;1250;0,00372;0
S_600_65_8;600;65;1600;0,00465;0
S_600_65_8;600;65;1950;0,00558;0
S_600_65_8;600;65;2300;0,00651;0
S_600_65_8;600;65;2600;0,00744;0
S_600_65_8;600;65;2900;0,00837;0
S_600_65_8;600;65;3200;0,0093;0
S_600_65_8;600;65;3500;0,01023;0
S_600_65_8;600;65;3750;0,01116;0,03125
S_600_65_8;600;65;4000;0,01209;0,03125
S_600_65_8;600;65;4250;0,01302;0,046875
S_600_65_8;600;65;4500;0,01395;0,046875
S_600_65_8;600;65;4750;0,01488;0,046875
S_450_140_6;450;140;100;0;0
S_450_140_6;450;140;450;0,000364515;0
S_450_140_6;450;140;800;0,001385845;0
S_450_140_6;450;140;1150;0,002223678;0
S_450_140_6;450;140;1500;0,004204422;0
S_450_140_6;450;140;1800;0,006047746;0,065359477
S_450_140_6;450;140;2100;0,007895563;0,179738562
S_450_140_6;450;140;2400;0,009004986;0,375816993
S_450_140_6;450;140;2650;0,01042424;0,490196078
S_450_140_6;450;140;2900;0,010751778;0,620915033
S_450_140_6;450;140;3150;0,011204472;0,669934641
S_450_140_6;450;140;3400;0,011657166;0,767973856
S_450_140_6;450;140;3650;0,013039446;0,833333333
S_450_140_6;450;140;3850;0,013826917;0,849673203
S_450_140_6;450;140;4050;0,015123894;0,849673203
S_450_140_6;450;140;4250;0,015650912;0,89869281
S_450_140_7;450;140;100;0;0
S_450_140_7;450;140;450;0,001494882;0
S_450_140_7;450;140;800;0,003724189;0
S_450_140_7;450;140;1150;0,005591805;0
S_450_140_7;450;140;1500;0,007970453;0
S_450_140_7;450;140;1800;0,008779053;0,032679739
S_450_140_7;450;140;2100;0,010252515;0,049019608
S_450_140_7;450;140;2400;0,011461754;0,261437908
S_450_140_7;450;140;2650;0,013969834;0,359477124
S_450_140_7;450;140;2900;0,014334103;0,424836601
S_450_140_7;450;140;3150;0,01732188;0,490196078
S_450_140_7;450;140;3400;0,017472802;0,637254902
S_450_140_7;450;140;3650;0,018922665;0,68627451
S_450_140_7;450;140;3850;0,019795508;0,735294118
S_450_140_7;450;140;4050;0,020491167;0,767973856
S_450_140_7;450;140;4250;0,024090451;0,767973856
S_450_95_8;450;95;100;0;0
S_450_95_8;450;95;450;0,000136134;0
S_450_95_8;450;95;800;0,000966068;0
S_450_95_8;450;95;1150;0,00185753;0
S_450_95_8;450;95;1500;0,001789177;0
S_450_95_8;450;95;1800;0,002801079;0
S_450_95_8;450;95;2100;0,00372051;0
S_450_95_8;450;95;2350;0,00437664;0
S_450_95_8;450;95;2600;0,005341957;0,115511551
S_450_95_8;450;95;2850;0,00655803;0,148514851
S_450_95_8;450;95;3100;0,007596244;0,264026403
S_450_95_8;450;95;3350;0,008424036;0,297029703
S_450_95_8;450;95;3600;0,009251827;0,346534653
S_450_95_8;450;95;3800;0,009817147;0,478547855
S_450_95_8;450;95;4000;0,010253009;0,495049505
S_450_95_8;450;95;4200;0,010688871;0,561056106
S_450_95_8;450;95;4400;0,01141893;0,610561056
S_450_95_8;450;95;4600;0,011786716;0,660066007
S_450_95_8;450;95;4800;0,01314708;0,693069307
S_450_95_8;450;95;???;0,014967648;0,693069307
S_450_95_8;450;95;???;0,015891761;0,775577558
S_450_95_9;450;95;100;0;0
S_450_95_9;450;95;450;0;0
S_450_95_9;450;95;800;0,000148848;0
S_450_95_9;450;95;1150;0,000618324;0
S_450_95_9;450;95;1500;0,001308068;0
S_450_95_9;450;95;1800;0,002154395;0
S_450_95_9;450;95;2100;0,002154395;0,033112583
S_450_95_9;450;95;2350;0,003652928;0,11589404
S_450_95_9;450;95;2600;0,003895461;0,149006623
S_450_95_9;450;95;2850;0,004564148;0,182119205
S_450_95_9;450;95;3100;0,006926392;0,264900662
S_450_95_9;450;95;3350;0,006926392;0,364238411
S_450_95_9;450;95;3600;0,008093041;0,48013245
S_450_95_9;450;95;3800;0,009308039;0,513245033
S_450_95_9;450;95;4000;0,009308039;0,529801325
S_450_95_9;450;95;4200;0,009823142;0,529801325
S_450_95_9;450;95;4400;0,013301225;0,579470199
S_450_95_9;450;95;4600;0,014010469;0,579470199
S_450_65_6;450;65;100;0;0
S_450_65_6;450;65;450;0,000484935;0
S_450_65_6;450;65;800;0,000550272;0
S_450_65_6;450;65;1100;0,000742205;0
S_450_65_6;450;65;1400;0,001339285;0
S_450_65_6;450;65;1700;0,001763425;0
S_450_65_6;450;65;2000;0,002376818;0
S_450_65_6;450;65;2300;0,003790495;0
S_450_65_6;450;65;2600;0,003672285;0
S_450_65_6;450;65;2900;0,004860115;0
S_450_65_6;450;65;3150;0,006130372;0
S_450_65_6;450;65;3400;0,007275417;0
S_450_65_6;450;65;3600;0,008492678;0,032786885
S_450_65_6;450;65;3800;0,009532675;0,032786885
S_450_65_6;450;65;4000;0,01057383;0,049180328
S_450_65_6;450;65;4200;0,012079216;0,049180328
S_450_65_6;450;65;4400;0,012486262;0,06557377
